Frame,Curve
0.005856,2.9378931728331785e-06
0.953472,2.9472026566764895e-06
1.985952,2.9659211432893833e-06
2.996256,2.9926918436262435e-06
4.00512,3.027384618231685e-06
4.993344,3.068566927664e-06
5.992128,3.11673874606643e-06
6.971904,3.1695762208941414e-06
8.039712,3.232359078628201e-06
9.008064,3.2928655611689998e-06
9.989184,3.3564269535162132e-06
11.026176,3.4247304879250347e-06
12.028032,3.4904160740937e-06
13.00032,3.5525909080406022e-06
13.974816,3.6121518568162464e-06
14.979072,3.6694654251787773e-06
16.03872,3.7243012260487134e-06
16.987776,3.7676174526270512e-06
17.988864,3.806676753728361e-06
18.99024,3.838401496988631e-06
20.03424,3.86328546394716e-06
20.98608,3.878516112755985e-06
21.992832,3.8868770212584945e-06
23.001696,3.887371085209089e-06
24.00288,3.880284777352989e-06
25.002528,3.865990655864615e-06
26.018496,3.8444480795553025e-06
27.065952,3.815304458015391e-06
28.002048,3.7837462191256988e-06
28.950144,3.746926724117815e-06
29.96832,3.702487491727287e-06
31.018848,3.6520069890778074e-06
32.018496,3.60031417205791e-06
32.964768,3.548781005851805e-06
33.972288,3.4919337857936153e-06
34.962144,3.4349435164545783e-06
36.088512,3.3698921349714237e-06
37.157184,3.309204452542539e-06
38.16864,3.2538235642567395e-06
39.002688,3.2104270059173323e-06
40.116288,3.156739902796399e-06
40.945152,3.120659609899262e-06
41.769984,3.08860236743809e-06
43.013472,3.0485547565577764e-06
43.844832,3.02793954561642e-06
44.885184,3.009719346987228e-06
45.955968,3.0003008152207495e-06
47.003424,3.000662839732041e-06
48.016416,3.0102377657211538e-06
49.022592,3.02876236383159e-06
50.088672,3.058034635839236e-06
51.020256,3.0914483857845624e-06
52.032,3.1355201784776622e-06
52.967136,3.182863398085673e-06
54.016896,3.2426703461006268e-06
55.044192,3.3068888667237677e-06
55.99488,3.370180799372487e-06
56.995392,3.4394769236487282e-06
58.033824,3.512756127357353e-06
58.977888,3.5791607154411914e-06
60.013536,3.6501641889100263e-06
61.038816,3.7169746569303697e-06
62.001024,3.775179447556524e-06
62.993952,3.829478186184665e-06
64.035072,3.879016259350447e-06
64.983648,3.916791016152609e-06
65.9784,3.9483205114344656e-06
67.032864,3.972343535272553e-06
68.038176,3.9861496576310724e-06
68.997024,3.991145862252852e-06
69.991104,3.9881657546576206e-06
70.973568,3.977457977958133e-06
71.945376,3.959730237709008e-06
73.007904,3.9328411017446595e-06
74.034048,3.900066390072318e-06
74.96784,3.864975986983305e-06
75.976992,3.821993991749711e-06
77.039232,3.771707453415987e-06
78.048096,3.7198000848934112e-06
78.993984,3.668005684100101e-06
79.999296,3.610249362737144e-06
80.956128,3.553274833808644e-06
82.078944,3.4847562044110435e-06
83.032224,3.4259261737818013e-06
83.740896,3.382236718104475e-06
85.017984,3.304632730614466e-06
85.9608,3.249163755321077e-06
86.966976,3.1926050774392855e-06
88.032576,3.1366640036986158e-06
89.047104,3.088121649215681e-06
89.991648,3.0478304243662267e-06
90.994848,3.0109476174531864e-06
91.948992,2.98212058088257e-06
93.107712,2.956062417614683e-06
94.033248,2.9427569902311155e-06
94.97568,2.9363755552624022e-06
