Curve,Frame
13.579279,15.568224
13.579242,15.570624
13.57826,15.635904
13.577531,15.684864
13.577488,15.687648
13.576527,15.75264
13.575809,15.801504
13.575729,15.806976
13.574057,15.92208
13.574041,15.923136
13.572388,16.03872
13.572311,16.044192
13.570673,16.16064
13.570634,16.16352
13.56903,16.279488
13.569009,16.281024
13.567427,16.397472
13.566264,16.484352
13.565869,16.514112
13.564306,16.63344
13.56358,16.689504
13.563229,16.716768
13.562821,16.748736
13.562043,16.81008
13.561699,16.837344
13.561315,16.868064
13.560573,16.927584
13.560231,16.955328
13.559833,16.987776
13.559138,17.044704
13.558813,17.071584
13.558402,17.105664
13.557696,17.164896
13.557367,17.192544
13.557011,17.222784
13.55634,17.280192
13.556013,17.308416
13.555609,17.34336
13.555002,17.396448
13.554663,17.426304
13.554282,17.46
13.55364,17.517408
13.553323,17.546016
13.552975,17.5776
13.552357,17.634144
13.552042,17.663136
13.551669,17.697696
13.551089,17.752032
13.550786,17.78064
13.550436,17.813952
13.549542,17.899968
13.548635,17.988864
13.548356,18.016608
13.547454,18.107232
13.547186,18.134592
13.546335,18.222432
13.546283,18.227808
13.545203,18.342144
13.545177,18.344928
13.54413,18.458784
13.543087,18.575424
13.542705,18.619104
13.542056,18.694272
13.541703,18.735744
13.541081,18.810048
13.540732,18.852384
13.540559,18.8736
13.540108,18.929376
13.539624,18.99024
13.53916,19.049472
13.538817,19.094016
13.538709,19.108224
13.538271,19.166112
13.537939,19.210656
13.537809,19.22832
13.537383,19.286688
13.537083,19.32864
13.536966,19.345056
13.536534,19.4064
13.536272,19.444416
13.536148,19.46256
13.535738,19.523136
13.535486,19.561056
13.535346,19.582272
13.534978,19.638912
13.534705,19.681632
13.53459,19.699776
13.534218,19.759488
13.533985,19.797408
13.533865,19.81728
13.533514,19.876128
13.533284,19.915392
13.533156,19.937472
13.532608,20.03424
13.532496,20.054592
13.531971,20.151744
13.531862,20.17248
13.531367,20.268864
13.531252,20.291808
13.530685,20.408928
13.529484,20.68128
13.529013,20.799648
13.528571,20.918976
13.528568,20.91984
13.528336,20.98608
13.528167,21.036
13.528155,21.039552
13.527951,21.10272
13.527785,21.155712
13.527785,21.155808
13.527594,21.219744
13.527444,21.272448
13.527437,21.27504
13.52726,21.339936
13.527125,21.392064
13.527123,21.393024
13.526966,21.456576
13.526843,21.50928
13.526827,21.516672
13.526699,21.57456
13.526593,21.62592
13.526572,21.636288
13.526461,21.693408
13.526365,21.746496
13.526348,21.75648
13.526258,21.810048
13.526176,21.862272
13.526161,21.872736
13.52608,21.92928
13.526014,21.980256
13.525998,21.992832
13.525932,22.050336
13.52588,22.099968
13.525868,22.11216
13.525815,22.170912
13.525779,22.216608
13.52577,22.2288
13.525731,22.28928
13.525707,22.33632
13.525701,22.348032
13.525677,22.410336
13.525665,22.456032
13.525654,22.531776
13.525653,22.573152
13.525696,22.760928
13.525762,22.879776
13.525805,22.937664
13.525839,22.97904
13.52586,23.001696
13.525916,23.05824
13.525962,23.099616
13.525984,23.11872
13.526054,23.17488
13.526109,23.215776
13.52614,23.238048
13.526221,23.29248
13.526285,23.332896
13.526326,23.35728
13.526419,23.411328
13.526495,23.452608
13.526536,23.47392
13.526643,23.527968
13.526729,23.569248
13.526777,23.591904
13.526903,23.648544
13.526994,23.687616
13.52705,23.711232
13.527192,23.76864
13.527294,23.808288
13.527345,23.827872
13.527501,23.885376
13.52761,23.924064
13.527679,23.947968
13.527841,24.00288
13.52796,24.041952
13.52804,24.06768
13.528214,24.122112
13.528348,24.163008
13.528424,24.185664
13.52861,24.239616
13.528749,24.279264
13.528829,24.30144
13.529032,24.356736
13.529182,24.396768
13.529274,24.420768
13.529493,24.476928
13.529651,24.51648
13.529965,24.592704
13.530131,24.631776
13.53102,24.830976
13.53159,24.950208
13.531848,25.002528
13.532048,25.04208
13.532206,25.072992
13.532456,25.121376
13.532818,25.189632
13.533086,25.239264
13.533473,25.309344
13.533736,25.356
13.534151,25.428192
13.534434,25.476576
13.534851,25.546176
13.535137,25.593216
13.535571,25.663296
13.535868,25.71024
13.536343,25.784256
13.536636,25.829088
13.537117,25.901376
13.537413,25.945344
13.537915,26.018496
13.538219,26.061984
13.538752,26.137344
13.539078,26.18256
13.539599,26.253984
13.539937,26.29968
13.540497,26.37408
13.540832,26.418048
13.541425,26.494656
13.541763,26.53776
13.542737,26.65968
13.546177,27.065952
13.54725,27.186144
13.548373,27.308928
13.549464,27.425568
13.550432,27.527136
13.550599,27.544416
13.551593,27.646368
13.551767,27.664128
13.55279,27.766944
13.552929,27.780768
13.553972,27.883584
13.554145,27.90048
13.555195,28.002048
13.555394,28.021056
13.556469,28.123008
13.55663,28.138176
13.55771,28.238784
13.557884,28.254816
13.559017,28.358496
13.559213,28.376256
13.560362,28.479552
13.560566,28.497696
13.561883,28.613952
13.563025,28.713312
13.563261,28.733664
13.564428,28.833408
13.565812,28.950144
13.567222,29.067168
13.568115,29.140416
13.568691,29.18736
13.569597,29.260608
13.571057,29.377248
13.572554,29.495232
13.573882,29.598432
13.574095,29.614944
13.575441,29.718144
13.575611,29.731104
13.577027,29.838336
13.577152,29.847744
13.57858,29.954496
13.578766,29.96832
13.5802,30.074208
13.580358,30.08592
13.581846,30.1944
13.581971,30.203424
13.583464,30.31104
13.583638,30.32352
13.585131,30.429888
13.585271,30.439776
13.586824,30.54912
13.586965,30.559008
13.588497,30.665856
13.588672,30.677856
13.590208,30.783744
13.590371,30.794976
13.591956,30.903072
13.593671,31.018848
13.595442,31.137216
13.596453,31.20432
13.597256,31.257408
13.598284,31.324896
13.60012,31.444608
13.601931,31.561728
13.603577,31.667232
13.60378,31.680192
13.605446,31.78608
13.605665,31.799904
13.607276,31.901376
13.609149,32.018496
13.611114,32.140416
13.613017,32.25744
13.614927,32.37408
13.615226,32.39232
13.616908,32.494272
13.618838,32.610432
13.620811,32.728416
13.62116,32.749248
13.622841,32.848992
13.62317,32.86848
13.624802,32.964768
13.626805,33.082368
13.628858,33.20208
13.63087,33.31872
13.638107,33.733344
13.64022,33.853056
13.642335,33.972288
13.645206,34.133376
13.64735,34.253088
13.648703,34.328352
13.649502,34.3728
13.650789,34.444128
13.651598,34.48896
13.652961,34.56432
13.653718,34.60608
13.655132,34.684032
13.655907,34.726656
13.657254,34.800672
13.660201,34.962144
13.662424,35.083584
13.664629,35.203776
13.666757,35.319552
13.668945,35.4384
13.671168,35.558976
13.68096,36.088512
13.6832,36.209568
