Phase,Mag,MagErr,Curve,
0.083747,13.734228,0.005,13.726201,
0.083959,13.730719,0.007,13.725784,
0.085007,13.736221,0.005,13.723718,
0.085174,13.721712,0.007,13.723389,
0.085205,13.729114,0.005,13.723327,
0.086222,13.733214,0.005,13.721314,
0.086407,13.726705,0.007,13.720948,
0.086452,13.728106,0.005,13.720858,
0.087438,13.719207,0.005,13.718901,
0.087645,13.720699,0.007,13.718488,
0.087695,13.730099,0.005,13.718389,
0.088675,13.741201,0.005,13.716433,
0.08886,13.707692,0.007,13.716064,
0.088901,13.709092,0.005,13.715983,
0.089891,13.713194,0.005,13.714002,
0.09013,13.693685,0.007,13.713523,
0.090143,13.707085,0.005,13.713496,
0.091124,13.724187,0.005,13.711527,
0.091381,13.694678,0.007,13.71101,
0.091404,13.711077,0.005,13.710965,
0.092371,13.72118,0.005,13.709018,
0.092597,13.696672,0.007,13.708563,
0.092619,13.70807,0.005,13.708518,
0.093586,13.722174,0.005,13.706567,
0.093834,13.704665,0.007,13.706065,
0.093861,13.706063,0.005,13.706011,
0.094833,13.710167,0.005,13.704046,
0.095091,13.683658,0.007,13.703525,
0.095108,13.700056,0.005,13.703488,
0.096071,13.71816,0.005,13.701538,
0.096324,13.684048,0.005,13.701026,
0.09636,13.692651,0.007,13.700952,
0.097286,13.706153,0.005,13.699073,
0.097561,13.680041,0.005,13.698514,
0.097589,13.683645,0.007,13.698458,
0.098533,13.718146,0.005,13.69654,
0.098813,13.688034,0.005,13.695971,
0.098818,13.678638,0.007,13.695961,
0.100028,13.679027,0.005,13.6935,
0.101261,13.69302,0.005,13.69099,
0.102513,13.698012,0.005,13.688443,
0.102797,13.697123,0.005,13.687864,
0.104054,13.701116,0.005,13.685307,
0.105007,13.684605,0.007,13.683366,
0.105291,13.680109,0.005,13.682788,
0.106241,13.682598,0.007,13.680858,
0.106511,13.677102,0.005,13.680308,
0.106777,13.675987,0.005,13.679767,
0.107483,13.681591,0.007,13.678333,
0.107763,13.675095,0.005,13.677765,
0.108015,13.66498,0.005,13.677252,
0.108707,13.679585,0.007,13.675848,
0.109005,13.675088,0.005,13.675244,
0.109226,13.675973,0.005,13.674796,
0.109923,13.666578,0.007,13.673385,
0.11022,13.668082,0.005,13.672782,
0.110441,13.664966,0.005,13.672335,
0.111179,13.665571,0.007,13.670843,
0.111454,13.663075,0.005,13.670287,
0.111693,13.660958,0.005,13.669804,
0.11238,13.665565,0.007,13.668417,
0.112701,13.662068,0.005,13.66777,
0.112903,13.661951,0.005,13.667362,
0.1136,13.636558,0.007,13.665959,
0.113925,13.665061,0.005,13.665305,
0.114118,13.663944,0.005,13.664916,
0.114856,13.647551,0.007,13.663434,
0.115154,13.654055,0.005,13.662837,
0.115361,13.661937,0.005,13.662422,
0.116071,13.640545,0.007,13.660999,
0.11641,13.663048,0.005,13.660321,
0.116576,13.66493,0.005,13.659989,
0.117309,13.634538,0.007,13.658526,
0.117625,13.678041,0.005,13.657895,
0.117832,13.659922,0.005,13.657483,
0.118556,13.637531,0.007,13.656043,
0.118863,13.673034,0.005,13.655433,
0.119079,13.663915,0.005,13.655004,
0.119771,13.629525,0.007,13.653632,
0.120123,13.675027,0.005,13.652934,
0.120294,13.658908,0.005,13.652597,
0.121014,13.635518,0.007,13.651177,
0.121505,13.646901,0.005,13.650209,
0.122752,13.642894,0.005,13.64776,
0.123967,13.628886,0.005,13.645384,
0.124347,13.650004,0.005,13.644643,
0.125292,13.619495,0.007,13.642807,
0.125589,13.652997,0.005,13.64223,
0.126539,13.631488,0.007,13.640395,
0.1268,13.63899,0.005,13.639891,
0.127749,13.640481,0.007,13.638066,
0.128024,13.641983,0.005,13.637538,
0.128272,13.641861,0.005,13.637063,
0.128982,13.648475,0.007,13.635706,
0.129258,13.649977,0.005,13.635182,
0.129515,13.626854,0.005,13.634693,
